ID,Airline.ID,Destination.Airport.ID,Source.Airport.ID,Airline,Source.Airport,Destination.Airport,Codeshare,Stops,Equipment,Source_Name,Source_City,Source_Country,Source_IATA,Source_ICAO,Source_Lat,Source_Long,Source_Alt,Source_TZ,Source_DST,dest_Name,dest_City,dest_Country,dest_IATA,dest_ICAO,dest_Lat,dest_Long,dest_Alt,dest_TZ,dest_DST,Airline_Name,Airline_Alias,Airline_IATA,Airline_ICAO,Airline_Callsign,Airline_Country,Airline_Active
2921,1355,507,273,BA,LOS,LHR,,0,744,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Heathrow,London,United Kingdom,LHR,EGLL,51.4775,-0.461389,83,0,E,British Airways,\N,BA,BAW,SPEEDBIRD,United Kingdom,Y
2960,1355,507,260,BA,ABV,LHR,,0,777,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Heathrow,London,United Kingdom,LHR,EGLL,51.4775,-0.461389,83,0,E,British Airways,\N,BA,BAW,SPEEDBIRD,United Kingdom,Y
3111,1355,273,507,BA,LHR,LOS,,0,744,Heathrow,London,United Kingdom,LHR,EGLL,51.4775,-0.461389,83,0,E,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,British Airways,\N,BA,BAW,SPEEDBIRD,United Kingdom,Y
3165,1355,260,507,BA,LHR,ABV,,0,777,Heathrow,London,United Kingdom,LHR,EGLL,51.4775,-0.461389,83,0,E,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,British Airways,\N,BA,BAW,SPEEDBIRD,United Kingdom,Y
3368,137,1382,260,AF,ABV,CDG,,0,772,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Charles De Gaulle,Paris,France,CDG,LFPG,49.012779,2.55,392,1,E,Air France,\N,AF,AFR,AIRFRANS,France,Y
3408,137,260,275,AF,PHC,ABV,,0,772,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO,5.015494,6.949594,87,1,N,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Air France,\N,AF,AFR,AIRFRANS,France,Y
3590,137,273,1382,AF,CDG,LOS,,0,332,Charles De Gaulle,Paris,France,CDG,LFPG,49.012779,2.55,392,1,E,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Air France,\N,AF,AFR,AIRFRANS,France,Y
3682,137,260,1382,AF,CDG,ABV,,0,772,Charles De Gaulle,Paris,France,CDG,LFPG,49.012779,2.55,392,1,E,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Air France,\N,AF,AFR,AIRFRANS,France,Y
3767,137,1382,273,AF,LOS,CDG,,0,332,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Charles De Gaulle,Paris,France,CDG,LFPG,49.012779,2.55,392,1,E,Air France,\N,AF,AFR,AIRFRANS,France,Y
3770,137,275,260,AF,ABV,PHC,,0,772,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO,5.015494,6.949594,87,1,N,Air France,\N,AF,AFR,AIRFRANS,France,Y
