ID,Airline,Airline.ID,Source.Airport,Source.Airport.ID,Destination.Airport,Destination.Airport.ID,Codeshare,Stops,Equipment
6,2B,410,AER,2965,KZN,2990,,0,CR2
7,2B,410,ASF,2966,KZN,2990,,0,CR2
8,2B,410,CEK,2968,KZN,2990,,0,CR2
9,2B,410,CEK,2968,OVB,4078,,0,CR2
10,2B,410,CSY,6162,DME,4029,,0,CR2
11,2B,410,DME,4029,CSY,6162,,0,CR2
12,2B,410,DME,4029,KVX,6142,,0,CR2
13,2B,410,DME,4029,KZN,2990,,0,CR2
14,2B,410,DME,4029,MQF,2969,,0,CR2
15,2B,410,DME,4029,NBC,6969,,0,CR2
16,2B,410,DME,4029,UUA,6160,,0,CR2
17,2B,410,GYD,2922,NBC,6969,,0,CR2
18,2B,410,KEJ,2957,SVX,2975,,0,CR2
19,2B,410,KJA,4374,OMS,2958,,0,CR2
20,2B,410,KRR,2960,KZN,2990,,0,CR2
21,2B,410,KRR,2960,NBC,6969,,0,CR2
22,2B,410,KUF,4118,LED,2948,,0,CR2
23,2B,410,KVX,6142,DME,4029,,0,CR2
24,2B,410,KZN,2990,AER,2965,,0,CR2
25,2B,410,KZN,2990,ASF,2966,,0,CR2
26,2B,410,KZN,2990,CEK,2968,,0,CR2
27,2B,410,KZN,2990,DME,4029,,0,CR2
28,2B,410,KZN,2990,KRR,2960,,0,CR2
29,2B,410,KZN,2990,LED,2948,,0,CR2
30,2B,410,KZN,2990,MRV,2962,,0,CR2
31,2B,410,KZN,2990,OMS,2958,,0,CR2
32,2B,410,KZN,2990,ROV,2964,,0,CR2
33,2B,410,KZN,2990,SVX,2975,,0,CR2
34,2B,410,LED,2948,KUF,4118,,0,CR2
35,2B,410,LED,2948,KZN,2990,,0,CR2
36,2B,410,LED,2948,MQF,2969,,0,CR2
37,2B,410,LED,2948,NBC,6969,,0,CR2
38,2B,410,LED,2948,PEE,2973,,0,CR2
39,2B,410,LED,2948,UFA,2992,,0,CR2
40,2B,410,MQF,2969,DME,4029,,0,CR2
41,2B,410,MQF,2969,LED,2948,,0,CR2
42,2B,410,MRV,2962,KZN,2990,,0,CR2
43,2B,410,MRV,2962,NBC,6969,,0,CR2
44,2B,410,NBC,6969,DME,4029,,0,CR2
45,2B,410,NBC,6969,GYD,2922,,0,CR2
46,2B,410,NBC,6969,KRR,2960,,0,CR2
47,2B,410,NBC,6969,LED,2948,,0,CR2
48,2B,410,NBC,6969,MRV,2962,,0,CR2
49,2B,410,NBC,6969,NJC,2972,,0,CR2
50,2B,410,NBC,6969,NUX,4364,,0,CR2
51,2B,410,NBC,6969,ROV,2964,,0,CR2
52,2B,410,NBC,6969,SVX,2975,,0,CR2
53,2B,410,NJC,2972,NBC,6969,,0,CR2
54,2B,410,NUX,4364,NBC,6969,,0,CR2
55,2B,410,OMS,2958,KJA,4374,,0,CR2
56,2B,410,OMS,2958,KZN,2990,,0,CR2
57,2B,410,OVB,4078,CEK,2968,,0,CR2
58,2B,410,OVB,4078,SVX,2975,,0,CR2
59,2B,410,PEE,2973,LED,2948,,0,CR2
60,2B,410,ROV,2964,KZN,2990,,0,CR2
61,2B,410,ROV,2964,NBC,6969,,0,CR2
62,2B,410,SVX,2975,KEJ,2957,,0,CR2
63,2B,410,SVX,2975,KZN,2990,,0,CR2
64,2B,410,SVX,2975,NBC,6969,,0,CR2
65,2B,410,SVX,2975,OVB,4078,,0,CR2
66,2B,410,UFA,2992,LED,2948,,0,CR2
67,2B,410,UUA,6160,DME,4029,,0,CR2
68,2G,1654,BQS,2926,OVB,4078,,0,A81
69,2G,1654,BTK,2936,IKT,2937,,0,A81
70,2G,1654,GDX,2930,IKT,2937,,0,A81
71,2G,1654,HTA,2935,IKT,2937,,0,AN4
72,2G,1654,IKT,2937,BTK,2936,,0,A81
73,2G,1654,IKT,2937,GDX,2930,,0,A81
74,2G,1654,IKT,2937,HTA,2935,,0,AN4
76,2G,1654,IKT,2937,MJZ,2925,,0,A81
77,2G,1654,IKT,2937,ODO,8944,,0,AN4
78,2G,1654,IKT,2937,OVB,4078,,0,A81
79,2G,1654,IKT,2937,ULK,9026,,0,AN4
80,2G,1654,IKT,2937,VVO,2934,,0,A81
82,2G,1654,MJZ,2925,IKT,2937,,0,A81
83,2G,1654,MJZ,2925,OVB,4078,,0,A81
84,2G,1654,ODO,8944,IKT,2937,,0,AN4
85,2G,1654,OVB,4078,BQS,2926,,0,A81
86,2G,1654,OVB,4078,IKT,2937,,0,A81
87,2G,1654,OVB,4078,MJZ,2925,,0,A81
88,2G,1654,ULK,9026,IKT,2937,,0,AN4
89,2G,1654,VVO,2934,IKT,2937,,0,A81
90,2G,1654,YKS,2923,IKT,2937,,0,A81
91,2I,8359,AYP,2786,LIM,2789,,0,142
92,2I,8359,CUZ,2812,LIM,2789,,0,142 141
93,2I,8359,CUZ,2812,PEM,2808,,0,142
94,2I,8359,HUU,6067,LIM,2789,,0,141
95,2I,8359,IQT,2801,PCL,2781,,0,143
96,2I,8359,IQT,2801,TPP,2806,,0,142
97,2I,8359,LIM,2789,AYP,2786,,0,142
98,2I,8359,LIM,2789,CUZ,2812,,0,142 141
99,2I,8359,LIM,2789,HUU,6067,,0,141
100,2I,8359,LIM,2789,PCL,2781,,0,143 146
101,2I,8359,LIM,2789,TPP,2806,,0,142 146
102,2I,8359,PCL,2781,IQT,2801,,0,143
103,2I,8359,PCL,2781,LIM,2789,,0,143 146
104,2I,8359,PCL,2781,TPP,2806,,0,146
105,2I,8359,PEM,2808,CUZ,2812,,0,142
106,2I,8359,TPP,2806,IQT,2801,,0,142
107,2I,8359,TPP,2806,LIM,2789,,0,142 146
108,2I,8359,TPP,2806,PCL,2781,,0,146
109,2J,470,ABJ,253,BOY,247,,0,CRJ
110,2J,470,ABJ,253,OUA,246,,0,CRJ M87
111,2J,470,ACC,248,OUA,246,,0,CRJ
112,2J,470,BKO,1044,OUA,246,,0,CRJ
113,2J,470,BOY,247,ABJ,253,,0,CRJ
114,2J,470,BOY,247,OUA,246,,0,CRJ
115,2J,470,COO,245,LFW,298,,0,CRJ
116,2J,470,COO,245,OUA,246,,0,CRJ
117,2J,470,DKR,1084,OUA,246,,0,M87
118,2J,470,LFW,298,OUA,246,,0,CRJ
119,2J,470,NIM,280,OUA,246,,0,CRJ
120,2J,470,OUA,246,ABJ,253,,0,CRJ M87
121,2J,470,OUA,246,ACC,248,,0,CRJ
122,2J,470,OUA,246,BKO,1044,,0,CRJ
123,2J,470,OUA,246,BOY,247,,0,CRJ
124,2J,470,OUA,246,COO,245,,0,CRJ
125,2J,470,OUA,246,DKR,1084,,0,M87
126,2J,470,OUA,246,LFW,298,,0,CRJ
127,2J,470,OUA,246,NIM,280,,0,CRJ
128,2K,1338,CUE,2671,UIO,2688,,0,319
129,2K,1338,GPS,2672,GYE,2673,,0,320 319
130,2K,1338,GPS,2672,UIO,2688,,0,319
131,2K,1338,GYE,2673,GPS,2672,,0,320 319
132,2K,1338,GYE,2673,SCY,6045,,0,319 320
133,2K,1338,GYE,2673,UIO,2688,,0,319 320
134,2K,1338,MEC,2683,UIO,2688,,0,319 320
135,2K,1338,OCC,2670,UIO,2688,,0,319
136,2K,1338,SCY,6045,GYE,2673,,0,319 320
137,2K,1338,SCY,6045,UIO,2688,,0,319
138,2K,1338,UIO,2688,CUE,2671,,0,319
139,2K,1338,UIO,2688,GYE,2673,,0,319 320
140,2K,1338,UIO,2688,MEC,2683,,0,319 320
141,2K,1338,UIO,2688,OCC,2670,,0,319
142,2K,1338,UIO,2688,SCY,6045,,0,319
143,2N,3652,AJR,730,LYC,719,,0,ATP
144,2N,3652,ARN,737,GEV,715,,0,ATP
145,2N,3652,ARN,737,HAD,709,,0,SF3 ATP
146,2N,3652,ARN,737,JKG,688,,0,SF3
147,2N,3652,ARN,737,KRF,718,,0,ATP
148,2N,3652,ARN,737,KSD,5595,,0,SF3
149,2N,3652,ARN,737,LYC,719,,0,ATP
150,2N,3652,ARN,737,MHQ,442,,0,SF3
151,2N,3652,ARN,737,OER,722,,0,ATR SF3
152,2N,3652,ARN,737,VBY,746,,0,SF3 ATP
153,2N,3652,ARN,737,VHM,729,,0,SF3 ATP
154,2N,3652,ARN,737,VXO,711,,0,SF3 ATP
155,2N,3652,BMA,738,JKG,688,,0,SF3
156,2N,3652,CPH,609,LPI,742,,0,SF3
157,2N,3652,GEV,715,ARN,737,,0,ATP
158,2N,3652,GEV,715,KRF,718,,0,ATP
159,2N,3652,HAD,709,ARN,737,,0,ATP SF3
160,2N,3652,HAD,709,JKG,688,,0,SF3
161,2N,3652,HMV,5599,VHM,729,,0,SF3 ATP
162,2N,3652,JKG,688,ARN,737,,0,SF3
163,2N,3652,JKG,688,BMA,738,,0,SF3
164,2N,3652,JKG,688,HAD,709,,0,SF3
165,2N,3652,KRF,718,ARN,737,,0,ATP
166,2N,3652,KRF,718,GEV,715,,0,ATP
167,2N,3652,KSD,5595,ARN,737,,0,SF3
168,2N,3652,KSD,5595,LPI,742,,0,SF3
169,2N,3652,LPI,742,CPH,609,,0,SF3
170,2N,3652,LPI,742,KSD,5595,,0,SF3
171,2N,3652,LYC,719,AJR,730,,0,ATP
172,2N,3652,LYC,719,ARN,737,,0,ATP
173,2N,3652,MHQ,442,ARN,737,,0,SF3
174,2N,3652,MHQ,442,TKU,460,,0,SF3
175,2N,3652,OER,722,ARN,737,,0,ATR SF3
176,2N,3652,TKU,460,MHQ,442,,0,SF3
177,2N,3652,VBY,746,ARN,737,,0,SF3 ATP
178,2N,3652,VHM,729,ARN,737,,0,SF3 ATP
179,2N,3652,VHM,729,HMV,5599,,0,SF3 ATP
